priority,name,instrument_id,pattern,close,change_pct,volume_multiple,anchor_date,anchor_low,day_high,selection_reason,counterevidence
1,鸿远电子,603267.SH,放量后突破延续,51.59,2.5850069596341285,1.3368521817128571,2026-09-11,46.92,52.13,9/11建立底线，9/14再次出现合格放量；9/16收51.59元，超过此前14日高点51.37元。整理后重新向上，符合新版关注点。,当日量能1.34倍，突破幅度仅0.43%；仍需后续确认，分时均价缺失。
2,振江股份,603507.SH,连续放量确认,23.55,3.8817820908689793,3.220066464954446,2026-09-15,21.6,23.67,9/15建立底线，9/16再次放量3.22倍，收盘位于日内振幅约91%的位置，最后一小时上涨0.73%。,只有一个后续交易日，不能称作充分整理；距此前14日高点仍约3.05%。
3,健盛集团,603558.SH,当日放量突破,13.05,4.316546762589946,2.7656501356560335,2026-09-16,12.2,13.15,9/16放量2.77倍上涨4.32%，收盘超过此前14日高点约3.16%；最后一小时继续上涨1.01%。,首次建立底线，尚未经历后续交易日检验；突破后同样可能回落。
4,华微电子,600360.SH,较早放量后的再转强,11.08,2.4976873265494914,1.4756047786292696,2026-09-11,9.49,11.2,9/11建立底线，窗口内有两次合格信号；9/16量能1.48倍，收盘超过此前14日高点，最后一小时上涨2.59%。,距有效底线已约16.75%，位置并不低；当日增量还没有达到2倍信号标准。
5,亚玛顿,002623.SZ,当日放量突破,16.76,3.584672435105074,3.407254105567348,2026-09-16,15.85,16.96,9/16量能3.41倍，涨3.58%，收盘略超此前14日高点；午后与尾盘有恢复。,突破幅度仅约0.18%，可能是假突破；底线当天刚建立。
6,天奥电子,002935.SZ,当日放量走强,16.19,6.794195250659629,2.644003163350038,2026-09-16,15.11,16.38,9/16上涨6.79%，量能2.64倍，收盘略超此前14日高点，最后一小时上涨1.31%。,已经出现较大单日涨幅，短期动能可能提前释放；尚无后续整理检验。
7,三祥新材,603663.SH,缩量趋势保持,44.85,3.269629288510245,0.7350216894835194,2026-09-09,39.32,45.41,9/9放量后底线始终有效，9/16量能仅0.74倍仍涨3.27%，收盘比原放量日高6.96%。,流通市值约266亿元，并非小盘弹性逻辑；缺少新的放量信号且尚未突破此前14日高点。
8,泰永长征,002927.SZ,放量后缩量延续,18.16,2.8312570781426905,1.645872476853332,2026-09-15,17.02,18.24,9/15放量建立底线，9/16量小于放量日但仍为此前5日均量的1.65倍，收盘接近日内最高；最后一小时上涨0.61%。,只有一天后续确认，尚未突破此前14日高点；属于早期延续，非成熟横盘。
9,长裕集团,603407.SH,高换手放量异动,57.88,6.612635844538595,2.779746545260909,2026-09-16,53.88,59.28,9/16上涨6.61%，量能2.78倍，流通市值约20.79亿元；59.28元当日高点接近此前59.30元高点。,换手24.28%，冲高后回吐2.36%，分歧较大。解除旧评分的重罚不等于已证明高换手有优势。
10,木林森,002745.SZ,放量后整理再突破,12.38,4.384485666104565,1.2612210122978411,2026-09-14,10.82,12.45,9/14建立底线，随后两个交易日量小于放量日；9/16涨4.38%、量能1.26倍，收盘超过此前14日高点约2.82%。,距底线约14.42%，不是贴近支撑的低位形态；存在突破回吐风险。
